,employeeno,trainings_attended,last_performance_score,targets_met,previous_award,training_score_average,no_of_previous_employers,promoted_or_not,age,working_for,is_female,schooled_abroad,is_married,was_disciplined,was_moved,division_Business Finance Operations,division_Commercial Sales and Marketing,division_Customer Support and Field Operations,division_Information Technology and Solution Support,division_Information and Strategy,division_People/HR Management,division_Regulatory and Legal services,division_Research and Innovation,division_Sourcing and Purchasing,channel_of_recruitment_Agency and others,channel_of_recruitment_Direct Internal process,channel_of_recruitment_Referral and Special candidates,qualification_First Degree or HND,"qualification_MSc, MBA and PhD",qualification_Non-University Education
0,YAK/S/00001,2,12.5,1,0,41,0,0,33,8,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,YAK/S/00002,2,12.5,0,0,52,0,0,28,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2,YAK/S/00003,2,7.5,0,0,42,0,0,32,7,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
3,YAK/S/00004,3,2.5,0,0,42,1,0,37,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
4,YAK/S/00006,3,7.5,0,0,77,1,0,29,7,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
5,YAK/S/00007,2,7.5,0,0,51,1,0,29,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6,YAK/S/00008,2,7.5,0,0,55,1,0,31,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
7,YAK/S/00009,2,10.0,0,0,75,0,0,26,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
8,YAK/S/00010,2,12.5,1,0,46,0,0,30,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
9,YAK/S/00012,2,12.5,1,0,42,0,1,33,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
10,YAK/S/00013,2,12.5,1,0,41,1,0,47,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
11,YAK/S/00014,3,7.5,0,0,72,0,0,37,16,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
12,YAK/S/00018,2,2.5,0,0,43,1,0,32,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
13,YAK/S/00020,2,7.5,0,0,51,1,0,35,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
14,YAK/S/00021,2,7.5,0,0,67,0,0,33,7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
15,YAK/S/00022,2,10.0,0,0,49,1,0,39,11,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
16,YAK/S/00023,2,7.5,0,0,55,4,0,26,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17,YAK/S/00024,2,0.0,0,0,62,4,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
18,YAK/S/00025,3,12.5,0,0,51,0,0,37,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,YAK/S/00026,2,12.5,1,0,75,1,0,25,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
20,YAK/S/00029,2,12.5,1,0,72,1,0,27,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
21,YAK/S/00030,2,0.0,0,0,36,1,0,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
22,YAK/S/00033,2,2.5,0,0,40,1,0,22,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
23,YAK/S/00035,3,12.5,1,0,79,0,0,25,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
24,YAK/S/00036,2,5.0,1,0,39,3,0,38,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
25,YAK/S/00037,2,10.0,1,0,67,1,0,31,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
26,YAK/S/00039,2,12.5,1,0,43,1,0,40,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
27,YAK/S/00042,3,10.0,1,0,49,1,0,21,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
28,YAK/S/00044,4,5.0,0,0,40,1,0,22,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
29,YAK/S/00046,2,12.5,0,0,63,2,0,48,11,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
30,YAK/S/00048,2,7.5,0,0,72,1,0,38,11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
31,YAK/S/00052,2,7.5,0,0,40,1,0,29,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
32,YAK/S/00053,2,7.5,1,0,57,3,0,38,12,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
33,YAK/S/00054,2,2.5,0,0,42,1,0,28,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
34,YAK/S/00055,2,7.5,1,0,54,0,0,37,5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
35,YAK/S/00056,3,5.0,0,0,77,1,0,24,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
36,YAK/S/00057,2,0.0,0,0,41,1,0,27,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
37,YAK/S/00059,3,0.0,1,0,39,1,0,25,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
38,YAK/S/00061,2,10.0,1,0,39,1,1,48,17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
39,YAK/S/00062,2,7.5,0,0,45,2,0,23,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
40,YAK/S/00064,2,10.0,1,0,44,0,0,33,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
